parent_income,assets,family_size,student_earnings,high_school_gpa,college_savings,loan_debt,extracurriculars,volunteer_hours,aid_amount
183810,56675,8,4144,2.826821753819348,25960,15118,0,8,32048
119209,195709,3,8832,2.8441816187933484,38438,16714,1,323,25229
75845,189184,9,23374,2.0617267157954546,85916,20152,6,222,18648
114320,88421,9,26451,2.822039003821181,62359,31641,3,236,45496
176620,169738,1,7673,2.0536429397871947,69034,10490,5,313,17144
196277,143985,4,4074,3.6758660879465372,97601,42747,3,164,19930
21776,163640,6,24495,2.9244682971959173,43506,12117,2,340,32392
158601,197441,6,8548,3.2609163060220703,96783,14091,9,162,34507
170062,114450,5,7544,2.8823419955737246,9044,13269,5,466,9394
159101,114044,8,21227,3.9711099422295577,56465,23404,3,165,9190
143773,48587,6,5590,3.5090182538641033,52938,8621,4,372,10669
199788,127327,7,5873,3.5143472829208626,63453,19574,8,168,28162
33185,60170,1,13305,3.4797128350997832,52970,25803,4,367,32846
24570,106864,1,20606,2.4655446294437438,68998,40460,2,74,28456
148794,127668,3,8179,3.14096396678581,61119,43275,3,277,13002
32932,189361,7,24983,3.411424471879601,34344,41808,9,224,44902
85464,117604,1,27165,3.466917262964656,55731,19761,4,496,21951
86191,130436,1,5571,3.077549203823831,60745,12977,1,269,20162
141928,169269,7,11319,3.135677132147483,92094,45294,9,241,39462
113463,136534,9,28770,2.6643257665254554,26946,15308,1,459,42303
157837,19454,5,13678,2.791482001016681,52161,870,7,455,17520
93003,41606,4,23360,2.2175250312650223,66878,29947,3,304,9069
68080,23649,1,10674,3.4778969725578643,67558,48252,4,419,25403
72986,85570,7,29509,2.9981949128800514,95683,12469,5,278,23074
164214,111531,2,18466,3.3719101220030048,87774,35491,0,211,18401
99766,46775,6,29154,2.0314259405628095,84685,21453,5,456,35155
65625,84598,3,29603,2.189236120856645,84825,11351,3,50,40450
191177,13604,5,13666,3.5536289650792297,15948,5621,4,138,36302
117615,27816,6,545,2.6970028773908696,85220,41956,6,125,49213
34176,70904,8,27942,3.7670960181322184,54895,27573,5,385,27030
78689,31800,1,4872,3.7320450319328815,68858,22818,1,88,47027
147791,28122,7,6373,3.6406948942154953,80762,38087,0,98,14380
95154,106257,9,14120,2.808350708776114,38577,13795,8,250,7447
180596,45362,7,889,2.7415585202345225,61999,31721,8,376,5918
109447,86252,5,20665,3.1612213875099426,33132,22085,7,224,2180
23744,69071,8,27929,2.7691753787590065,75973,20724,5,340,17655
196840,97317,4,7635,2.521267041682828,50275,5521,3,214,17598
150484,76638,4,22496,3.320789127984722,21474,41185,8,495,34266
139905,48469,2,9789,3.9478951924440584,68999,43243,2,141,40413
88047,151756,9,6744,2.009264449849122,64227,33235,7,256,7822
176999,88198,7,16465,3.794185843249772,19201,31669,0,167,1958
151437,36419,7,29,3.694586856340242,57050,43454,4,344,13007
64890,160928,7,16019,3.468566233254731,78343,44330,4,246,16354
145136,180931,4,25042,2.0254269359755126,42069,23259,2,180,38467
33262,95881,4,8612,2.8992930632208203,33661,30680,0,434,26164
194159,183550,2,27740,3.111985248640086,72718,46085,4,275,44283
80683,133414,7,9252,2.6033711721532438,38304,23044,0,118,27851
105050,110274,2,8972,2.9557415716021658,90704,34374,1,491,2003
170939,126394,3,20145,3.037513136424603,28683,41160,5,460,44476
78757,118698,1,26595,2.630293232587638,97780,4988,0,171,22181
138264,8091,2,6609,3.320935317602494,75946,13301,3,441,31297
199985,24059,2,15610,3.990211316434104,44400,4666,2,207,13939
113861,160921,7,4675,3.386736356450336,12857,23384,3,426,2921
171193,71408,7,17379,2.245131057049899,13754,13446,6,445,16282
40857,171446,3,5449,3.6737658655486323,32396,25092,5,273,15373
47026,185236,7,27964,2.0787485831763606,94963,15770,6,53,24382
94457,54929,3,13386,2.945009024060376,89490,6073,2,482,46137
37019,187692,1,21611,3.6366127445863095,20608,6133,5,247,35438
52182,86775,7,29653,3.966213845186334,63724,49423,2,405,35272
108113,129895,9,10334,3.2895098732867503,63766,13585,1,15,30501
184994,4354,4,7475,3.2991672072975633,81312,44941,5,199,33778
160773,94021,7,5524,3.922812829746233,21641,11767,4,252,4826
27058,95610,2,403,3.3935440348705193,28948,44495,3,90,24323
166929,69124,1,15423,2.1150453547566603,32602,42796,4,252,21142
107236,180931,6,22433,2.620234507272306,94497,40624,6,490,45445
127622,39118,5,26528,3.911069783180227,71872,9548,3,304,45005
121991,196309,8,28838,3.248169406218084,50049,41390,4,411,42297
74597,106390,2,14205,3.155756885249237,52546,23372,1,163,48733
193249,65876,6,6438,3.4286563733296727,49664,28073,6,486,13276
174229,174915,4,581,3.9563193555766176,6974,32341,0,5,30636
176668,60511,6,20730,3.8408989025496174,22519,42941,3,379,34058
113953,161138,7,3218,2.1350640368889637,58223,38189,0,31,5358
191651,36778,4,8513,3.1192925619880296,85810,47959,2,159,2786
189403,43133,3,17848,3.1275954369958803,27915,40173,9,47,6338
116426,42199,5,9579,3.0597979986257937,29151,3097,6,174,24819
64268,8726,1,8448,3.6522099221493116,83745,4072,9,488,42691
174034,141672,9,21511,3.048736460695152,42850,29691,1,361,10470
136090,132962,1,6722,2.770695572197303,79345,29379,8,293,45882
26472,40160,3,102,2.5447687015585014,31138,1316,6,217,13588
51308,53401,9,29383,3.737092580470285,24624,26047,6,330,45964
133788,27940,7,17643,3.6866299232537343,17622,37422,2,404,28066
150296,177537,2,25321,3.577636179017639,51037,3539,9,257,34393
91727,86131,2,22542,3.360451602923385,19322,40133,3,127,13422
69644,187292,6,5519,3.426363677701037,82489,1306,9,278,25797
189929,99415,1,16501,2.716342357390688,17667,7679,8,331,24732
114825,24409,6,2873,3.06327530631906,93167,9731,3,132,9950
81759,12540,3,18258,3.7662339660969026,19324,41697,6,303,47988
180668,138872,7,13538,2.9528084114342548,24180,3134,9,213,15214
178462,129166,5,9531,3.105615679298166,66612,29433,3,10,43741
134736,49692,1,15021,2.5674610195005765,43909,44174,9,31,42161
77432,40646,7,2380,2.771710763883983,43021,27562,6,390,32109
189646,88121,4,16894,2.3946421515585534,46387,23763,1,225,28997
76547,96852,5,18549,2.6307429333133063,33477,42551,5,10,26039
65600,145378,5,837,2.74868530427519,46327,46916,2,499,1501
129429,52182,3,17356,3.1231690086899913,12704,20083,4,379,24499
192779,58435,6,14077,3.315662667215157,24538,40405,5,17,36449
72127,126889,5,12864,3.4921373731077208,49561,27109,3,478,10986
69867,93013,4,11840,2.5264273168073177,90524,26685,5,198,26102
37713,51922,7,23021,2.7417048294258377,57917,47778,0,205,6285
182030,147992,9,18212,3.0292935497256837,20491,28613,8,378,7967
72301,198911,2,22422,2.126566440751775,9140,7931,8,404,12420
84723,67871,7,12362,2.0318847721720266,42954,30568,2,339,37284
144494,84590,5,25550,2.503417657566188,34779,32677,1,244,34515
61731,88182,1,10301,3.9777600944742435,39065,39972,6,388,45404
170128,163686,4,17342,2.095024069321423,55838,9217,3,348,36694
67858,169594,5,23076,3.8375451158641485,26264,16119,0,35,48756
123960,162423,3,4993,3.278123512676099,82137,24009,3,380,23694
197423,44727,5,21383,2.852858205232108,56381,17114,0,37,38545
70129,162463,9,2357,3.024248259199714,49474,4229,2,157,19147
66117,30483,4,21891,3.4426562953277493,64636,37300,5,247,3880
90746,134573,6,27244,3.88693747941901,40798,26299,6,450,16621
120099,89974,2,16290,3.2574080510970367,70218,1634,3,288,42763
157257,139878,2,16773,3.9695785730451876,26736,41427,6,284,43997
170476,15599,2,28702,3.2748593255961707,26979,20993,9,40,25671
85376,46782,8,13840,3.670353068867909,93181,46206,4,128,35821
174420,158517,4,11382,2.279469913089696,24704,25930,6,450,26109
168268,164379,4,29933,2.126198305908334,83435,38714,5,434,43045
74790,168587,4,14820,2.8761624430960113,87690,39611,3,204,2777
134417,145058,5,21280,3.221595657363869,13545,7574,2,345,11702
32771,9541,9,13619,2.2638160559087677,80887,3083,2,390,21122
30137,35521,2,12591,3.8589926904075647,10617,22193,8,68,14843
196003,195282,8,17721,2.9017025686096067,9707,17611,0,328,15716
29543,42201,5,24830,2.9250874601807544,53592,9172,8,25,36095
190654,56703,8,24204,2.99644960754292,81899,36593,7,371,23371
48495,38111,9,25961,3.8516216525493308,67995,9043,2,14,29344
142688,122217,4,4308,2.2285169138002825,94131,29277,0,435,8972
131852,3013,1,19777,2.7285749428558868,29768,2282,4,489,24788
43520,32137,4,6705,3.5889535631887854,33180,19731,9,82,49829
177873,129619,4,17977,3.79504643321407,24407,29921,1,178,13329
164689,91257,1,18010,3.6607806506136327,79023,41904,5,157,44047
154741,127111,3,2409,2.95309455823038,14494,32366,3,10,4015
59605,92146,6,5822,2.3195427580316403,32806,43674,8,360,26333
158621,43045,3,25219,3.700386059627679,1592,19108,1,498,35857
108581,136344,2,23950,2.460828337880085,12131,29076,0,297,33365
21922,28551,2,2006,3.7182308224073912,65235,7736,2,393,22805
86620,108601,1,24236,3.7776595715488965,63781,5337,5,436,36023
187144,21557,3,27278,2.4589985327934922,52144,25212,1,330,35560
101757,16523,3,9933,3.949810533252391,19712,32807,3,128,13334
97974,121677,3,23256,3.0512715903363614,34371,16416,5,345,43813
112578,71680,9,14150,3.4407629346618123,53198,36627,5,211,13472
197620,71231,2,209,3.7053740108185167,27185,31909,0,424,27634
188399,40774,6,3438,2.5814537351737084,67369,17639,1,85,1867
105421,52998,8,1838,2.832349907579572,76684,28925,2,245,27069
117931,120135,6,4162,3.7076175548413977,79326,31074,4,421,10494
26577,32437,1,24540,3.638444419611214,9897,38265,3,61,43402
123181,47051,3,22743,3.115841979436046,1993,31350,3,377,45917
109861,26241,7,15752,3.5183252972510957,84280,20504,3,268,48614
141000,142784,6,15307,3.5636395725375736,39652,33925,6,398,26296
163176,170924,4,29788,2.471814397630073,35650,3229,7,382,40596
141726,196475,2,10347,3.676156339809525,85843,35156,2,399,19572
24077,16718,7,11737,3.0653389672089695,22552,20033,0,356,13548
91238,186128,8,28651,2.950485098621484,66714,45626,3,202,16696
97394,73544,9,16632,2.0416645668151983,45193,7153,0,411,27720
105137,68185,1,8248,2.0016748724108506,6389,16910,2,178,8307
160213,29600,7,11979,2.940438763964413,54704,12375,5,171,3159
36332,135314,5,15287,2.2884828841953544,88616,23327,8,68,14964
116771,90696,5,19634,2.1809841161293697,66033,16715,0,314,44018
85714,184253,4,19337,2.568700596955197,7177,45903,5,350,14690
41541,145339,5,4131,2.705685367936049,29148,12709,8,468,46906
135117,38026,9,24430,2.3989601412283563,88641,32445,3,314,12597
137740,142272,1,29621,3.3621880800531003,32085,49514,3,46,28957
153095,83692,6,20730,3.1253227592180632,72420,8580,9,33,23944
108137,125116,4,19727,3.33367903662662,44012,1535,3,218,4868
109179,62561,5,2056,3.9164663018415267,5425,22683,4,484,25674
68695,64089,5,24698,2.631114588666991,71727,41100,8,7,45975
118292,163265,8,28821,3.4520247458389766,99976,48394,5,419,25122
100021,108676,5,21792,2.6273156391217043,71674,35799,5,479,13526
123005,113954,7,21214,3.3940162778562195,52789,20999,6,408,47364
147511,143686,4,4953,3.6216101418205118,30751,45559,4,345,8810
44609,109072,8,4007,3.37028481201002,32100,12285,5,234,15230
56382,41964,9,14165,2.8077211006703306,34069,4814,1,363,8910
158057,153413,2,27066,3.244215313957847,77196,35347,9,321,49997
108408,52348,9,17097,3.6111548721762654,76923,37753,2,179,33500
58714,141792,3,24121,2.517208856711184,81635,7763,8,407,32192
70326,104393,4,21346,2.447710500523262,98242,3485,7,17,3527
130645,122204,2,9828,3.243794047888931,50340,36624,3,161,8565
94006,29514,3,5177,2.5971824177247935,25390,12229,7,333,36358
58990,105768,9,29004,3.5758934563808937,52469,16414,4,58,21349
95474,9708,2,18313,2.0453562502251885,11560,38375,4,64,3439
125385,48663,7,18636,2.4802792234080675,30537,43927,3,397,31118
31198,70215,7,26345,2.469946556109228,24154,19643,9,416,7764
177128,57990,5,4252,2.6229680960092177,87820,22216,9,260,47741
60072,95766,7,1207,2.246574986650091,33447,28760,3,125,15857
177112,53285,6,10649,2.977554560948585,49109,45723,3,182,16987
115834,71030,6,1705,2.2611079536919094,3872,36602,3,158,43279
168984,41442,3,16800,2.388837434848067,37951,102,6,354,40902
133852,27219,5,27225,3.149247113409068,24755,8124,6,271,24481
70345,80567,3,14709,2.992042928992844,16962,1209,7,232,37430
112559,163116,5,6918,3.9917123231006917,2367,758,4,325,33948
188016,183708,5,23329,2.5744529641087617,30314,9804,5,22,26794
166415,138756,4,27695,3.1442774974989893,60032,40013,0,180,41668
94565,28525,7,16525,3.38312101493762,37922,9067,7,42,3621
77177,126687,2,12593,2.886376416942807,61824,5367,1,452,30298
90109,148699,7,14930,3.138265927468124,70,36871,1,383,20351
91542,146681,3,26463,3.08068472385712,68926,49466,7,294,47156
190186,154521,2,5678,3.6865093110821916,95411,34777,6,312,1949
32185,30465,4,14585,3.9670729493676093,84582,39675,5,111,9484
28363,184927,8,8224,2.2061137685914622,35652,42194,9,249,42053
62431,199047,2,8624,2.6716828935575485,63489,29216,6,347,7674
118584,128085,7,5399,2.855017768189801,61157,49169,6,351,10418
44128,41567,9,16978,2.0536909323446135,43156,1365,8,115,36357
129734,123607,5,8630,2.670375407033796,1227,42439,0,425,29901
81452,104193,8,16617,3.7600910860532926,53421,46337,0,330,45966
176187,91982,8,9216,2.8311783780220265,50698,33343,9,327,33575
195866,98461,9,24693,3.869712308215289,47638,22730,0,344,34302
154686,78592,2,24870,2.630582350179477,77936,12121,5,16,24863
191824,198375,1,10286,2.9977218433768726,7514,46226,1,458,1089
126547,124092,3,28267,2.9061494684542497,48346,15944,4,211,21606
128912,153522,1,28153,3.9744408760280017,77418,36098,9,81,29823
140882,173007,9,5943,2.4749186509022385,80192,8702,6,471,40741
172589,106173,7,6623,2.992635931394034,22110,20387,0,422,49577
172000,173618,4,10003,2.085975409591077,64189,17943,6,354,35708
63511,37405,5,29430,2.8500783026821956,78082,38712,2,98,11085
69464,119218,7,4357,2.698142175026315,81963,26580,6,194,24534
101222,100074,6,15017,2.6473572841571933,21189,41202,6,139,25798
106224,182081,9,28170,2.534856426298961,39372,33812,7,312,8461
104194,38882,7,876,3.141803744497895,68896,9736,6,401,41041
44085,167810,8,16029,3.264945828989682,57063,12540,4,79,2090
181769,161907,6,28774,3.338416528972607,9980,19617,0,376,25178
199535,46057,7,13070,3.004004896660723,5700,27139,1,462,17077
42682,47125,4,10967,3.337698129400087,49419,46695,9,64,13665
182181,108503,5,27749,3.985923910977111,74134,11529,6,362,4850
198614,47620,7,5200,3.8794877422603564,91731,1442,6,77,49520
118595,50715,6,12683,3.659923303066771,83708,30743,3,453,45141
73645,184157,4,750,3.8842213771684913,26315,1271,0,166,23988
48982,75707,6,6080,2.407024011146114,50864,23142,3,39,15141
168460,1968,1,20628,2.9202173338119652,80855,10373,0,255,27427
36824,50151,9,1527,2.312938073419669,72244,36441,5,52,43191
154275,115661,6,29652,3.6181280871355312,60247,2456,0,46,42029
79977,36911,9,2521,2.76227280075569,71042,14819,3,361,25732
197067,4449,2,20552,3.062022835287217,11130,30764,4,430,8857
20480,94649,5,6458,2.1311841802217293,29024,14599,9,47,22439
179041,147408,5,10350,3.3080879876942433,14096,14453,9,5,33444
198058,39177,3,28192,2.6238244872907908,86621,9164,2,176,29976
150420,11244,4,7574,2.239048293970562,66224,24628,1,202,34918
143370,186965,2,21209,3.1124536939384555,49800,23693,6,392,24755
163676,89659,1,1838,3.2748485431809193,20601,9517,3,109,18788
151621,105210,4,21519,3.6809249733216625,63372,30439,4,197,2938
127884,67607,9,29406,3.635919369197955,18831,9244,4,202,36156
65848,82609,3,12191,2.2807960957280695,5049,21976,1,19,49335
40371,133596,9,1424,2.164928698159208,993,36716,8,26,28507
100945,9909,4,2184,3.9241913021764936,34239,3660,2,122,6804
171916,58095,9,284,3.1007461911054843,87840,2112,8,254,18651
167632,131197,5,13241,3.3166675236326544,54984,33796,2,397,3444
52082,25654,7,5312,3.300823842978354,40848,29224,3,31,6746
188245,97107,4,8158,3.4792477819941663,26095,11330,0,436,24742
54866,168767,4,14710,3.343371105973036,983,692,1,289,24778
52703,196837,9,5087,2.3107916790248613,85258,14773,1,109,32875
40414,131006,3,20461,2.6829665054406275,2834,18863,6,474,36664
27705,88685,9,13557,2.455227885923838,5760,2040,5,14,46408
116471,59048,4,16413,2.785251907595092,50214,15956,0,437,28331
94592,33389,5,16807,3.0577548872673512,34514,37201,3,457,27166
66074,34435,6,2173,2.8438682269278166,43008,39066,1,350,45803
125234,186484,8,14499,2.740255158024858,67819,22304,9,340,48886
195264,142678,3,27187,2.064932589043977,47128,21849,4,381,30726
159692,90152,4,22017,3.93918835111393,8927,38862,1,384,36059
28329,1899,1,25643,2.7709212874493474,28437,18222,9,137,16345
141331,195843,1,1921,3.9889086669350333,40072,45433,1,44,37699
168571,192004,5,19171,2.568680209432265,13357,29637,7,239,15661
103800,186809,3,22849,3.6355403281421843,93350,6559,5,187,11952
107975,49102,7,25550,2.0793318392670046,84313,20743,2,419,4984
171450,25720,5,6054,2.034750807935084,26076,42480,5,252,27976
178122,11611,5,16487,2.423293956847379,84755,31211,8,199,18785
62503,70444,9,12334,2.7593381882619905,48648,25567,2,312,19650
188301,94237,2,6306,3.7225651209217183,77020,9727,8,169,29668
115240,159713,3,4476,3.2962913978830497,82361,36912,2,299,32574
120701,106708,6,25997,2.3889899467924893,18774,24852,6,148,49055
95159,56820,1,20189,3.782728109515297,77242,40369,7,268,30294
56086,190774,4,7690,2.9066235795614643,78991,22901,0,429,42936
21378,39347,5,17727,3.6665150443662773,12018,12396,0,171,42312
127975,38554,8,8963,2.3476587779993103,69523,22097,5,366,21844
45231,86855,8,18075,2.695340210150444,43764,7874,4,380,35889
31532,65174,1,12260,2.603939108703256,49968,13067,0,383,9450
189914,192376,4,23407,2.961617345583167,14374,19596,4,330,45551
95728,94469,6,9446,3.8946549551616805,3693,26042,6,408,20592
153917,60870,6,4248,3.5606368449906225,32237,7474,4,117,48335
89032,191624,7,17139,2.0347127669858085,91344,15075,8,407,7361
112141,162284,8,3358,3.6839990180553865,10629,37392,9,280,3508
165863,125008,6,17089,3.4888682344255413,19696,44836,3,265,24128
121486,101966,1,5023,2.0703127383908724,76234,27466,7,105,17485
50844,119916,4,26968,2.1522857234619863,71763,46526,2,363,2523
86556,16590,2,15947,3.9667371012497505,9045,45081,4,45,36529
169824,103325,9,19223,3.4296338585522452,35102,25429,2,134,30347
189781,187420,3,26731,3.222437896523669,34561,47010,5,53,17613
178709,31901,5,7170,2.2549450796236066,39506,30629,7,128,7983
42234,134673,8,24314,3.4927276751010763,87683,34476,3,330,3238
57898,126822,3,25348,2.1399698253791173,91685,35848,2,429,29165
117074,41676,3,2264,3.955537396650082,70356,33457,6,296,40477
125312,127148,6,24372,3.0423735472891504,900,30176,7,400,40082
24071,19171,4,2345,2.7050948578185112,48740,9911,0,390,26336
105279,116505,3,11912,2.4501546401356666,91884,31806,2,87,29436
101030,150678,2,5121,2.0703892456198947,18906,2989,3,298,26735
147185,90754,5,9462,2.722847231732037,22959,27314,9,207,5219
126856,174837,9,19383,2.0333732863294682,67592,41778,6,304,38226
107794,144552,6,7136,3.3392586243787976,76212,26308,4,171,10180
199878,1540,7,23323,3.973074290940681,75718,46071,2,12,49260
21052,27262,7,10943,3.368295907284848,82221,34278,3,367,36281
106961,7126,2,20849,2.3979527427885334,20243,13583,5,346,34224
67756,2569,4,23880,2.5109052696510075,93272,46217,6,216,24431
113105,138169,5,29656,3.8948271619980126,47442,6524,7,117,23635
66611,142751,7,22639,2.515314951900457,69290,26728,1,150,38354
82127,63879,3,19882,2.7433230187003206,47886,41687,7,374,48840
104098,162099,4,20162,2.148822151777602,9969,45865,7,112,17637
158178,189996,5,11627,3.4227695542570773,10696,48245,9,72,17280
125047,165123,3,27170,3.542375080568531,5696,34615,4,65,36530
166619,172783,8,21762,3.900914835436182,33104,14491,0,220,40458
99749,167659,3,8495,2.375035976096904,58995,4596,5,209,19518
103259,82393,2,29928,3.9093168804402465,50214,3841,0,183,7808
122263,82764,6,10725,2.555264815746292,58235,35078,8,179,38317
61390,18395,1,11535,2.155667922829732,93553,21648,9,155,47468
92206,176409,3,23454,2.859401555686267,59957,44883,9,183,38606
51608,152109,4,7934,3.2358270831747813,87258,34399,0,423,1242
152918,33106,3,5939,2.4115821622569253,31492,46400,7,57,17252
74887,66932,8,10878,3.960973780568061,2501,37834,3,24,9849
122495,182257,3,28849,3.684210115028566,36526,23133,4,65,7018
177336,144095,2,24458,2.042249793203258,27529,25454,6,130,20260
159676,1192,1,17876,3.988693138764467,92875,47211,7,131,18230
53758,189203,9,9218,3.8479402038497845,92374,41289,3,93,20322
130203,54868,4,23319,3.9019162661295805,88958,40412,6,281,27588
188659,170620,4,891,2.499102625450919,85155,10596,7,100,12133
24359,54750,5,16222,2.744890450771302,283,2410,3,134,20756
146318,23450,1,12027,2.230200036845929,13243,27505,5,133,31711
60521,50447,4,28101,2.5632640951870433,5640,31008,9,370,20088
